Deck,Word,Meaning
Deck,Word,Meaning
UK Business Advanced,Garden leave,"A practice where an employee leaving a job—often to join a competitor—is instructed to stay away from work during their notice period while still remaining on the payroll. Example: ""To protect our client list, the Sales Director was placed on three months' garden leave."""
UK Business Advanced,TUPE,"(Pronounced 'Too-pee'); Transfer of Undertakings (Protection of Employment). Legislation protecting employees' rights when a business transfers to a new owner. Example: ""The legal team is assessing the TUPE implications of the acquisition."""
UK Business Advanced,Belt and braces,"An idiom meaning to take double precautions to avoid failure (US: suspenders and belt). Used in risk management contexts. Example: ""Let's take a belt and braces approach to the data backup to ensure nothing is lost."""
UK Business Advanced,Constructive dismissal,"A situation where an employee is forced to resign because the employer has made their working conditions intolerable; specific UK legal concept. Example: ""She is suing for constructive dismissal, citing a breach of trust by her manager."""
UK Business Advanced,To ring-fence,"To guarantee that funds or assets are reserved for a specific purpose and not spent on anything else. Example: ""We need to ring-fence the R&D budget against the upcoming cuts."""
UK Business Advanced,Administration,"A specific insolvency procedure where an external administrator runs the company to try and save it (Distinct from 'Liquidation' or US 'Chapter 11'). Example: ""The high street chain has officially gone into administration this morning."""
UK Business Advanced,Joined-up thinking,"A phrase (popularised by UK government) meaning integrated planning across different departments to ensure a cohesive strategy. Example: ""There is a lack of joined-up thinking between marketing and product development."""
UK Business Advanced,Ex gratia,"A payment made out of goodwill (moral obligation) rather than legal requirement. Example: ""The company offered an ex gratia payment to the client to apologize for the delay."""
UK Business Advanced,Pre-emption rights,"The right of existing shareholders to be offered new shares before they are offered to the public, preventing dilution. Example: ""Investors waived their pre-emption rights to allow the new funding round to proceed quickly."""
UK Business Advanced,Cat among the pigeons,"To say or do something that causes trouble or makes a lot of people angry or worried. Example: ""The CFO put the cat among the pigeons by suggesting we relocate the headquarters to Manchester."""

